BoxOffice,Country,Director,Error,Genre,Plot,Production,Rated,Ratings,Runtime,Title,Year,imdbRating,imdbVotes
N/A,"Denmark, Norway, Australia, USA",Mike Mitchell,,"Animation, Action, Adventure, Comedy, Family, Fantasy, Musical","It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",107 min,The Lego Movie 2: The Second Part,2019,7.1,"10,410"
N/A,USA,Robert Rodriguez,,"Action, Adventure, Romance, Sci-Fi, Thriller","Alita is a creation from an age of despair. Found by the mysterious Dr. Ido while trolling for cyborg parts, Alita becomes a lethal, dangerous being. She cannot remember who she is, or where she came from. But to Dr. Ido, the truth is all too clear. She is the one being who can break the cycle of death and destruction left behind from Tiphares. But to accomplish her true purpose, she must fight and kill. And that is where Alita's true significance comes to bear. She is an angel from heaven. She is an angel of death.",20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",122 min,Alita: Battle Angel,2019,7.6,"50,783"
N/A,USA,Christopher Landon,,"Drama, Horror, Mystery, Sci-Fi, Thriller",Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",100 min,Happy Death Day 2U,2019,6.7,"7,116"
N/A,USA,Doug Liman,,"Adventure, Sci-Fi","In Prentisstown, Todd has been brought up to believe that the Spackle released a germ that killed all the women and unleashed Noise on the remaining men. After discovering a patch of silence out in the swamp, his surrogate parents immediately tell him that he has to run, leaving him with only a map of New World, a message, and many unanswered questions. He soon discovers the source of the silence: a girl, named Viola. The two must hurry to warn an incoming ship of settlers as Mayor Prentiss prepares an army for war.",Lionsgate,N/A,[],N/A,Chaos Walking,2019,N/A,N/A
N/A,USA,"Anna Boden, Ryan Fleck",,"Action, Adventure, Sci-Fi",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Marvel Studios,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",124 min,Captain Marvel,2019,6.9,"80,858"
,USA,N/A,,"Comedy, Drama, Romance","Rebecca Pearson once had a difficult pregnancy with triplets. The resulting births occurred on the same day as her husband Jack Pearson's thirty-sixth birthday. The lives of Rebecca, Jack and their three offspring - Kevin, Kate and Randall - are presented at different points in time. The Rebecca and Jack stories generally take place during the early stage of their marriage, surrounding the birth of the three children, or at different phases of the children's upbringing, which was not always smooth sailing for any of the five. Separate stories concerning Kevin, Kate and Randall are also presented in their adult years, each who has his or her own baggage resulting from that upbringing: Kevin who was generally the neglected one because he had no outward issues; Kate who has always had weight issues; and Randall, the gifted one, being the visible outsider and being the ""non-K"" child. These stories may demonstrate the emotional ties that exist not only because of being family, but also because of four of them having the same birthday and some of them having always been together, meaning since conception.",,TV-14,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",45 min,This Is Us,2016–,8.7,"72,288"
N/A,USA,Alex Ross Perry,,"Drama, Music",A self-destructive punk rocker struggles with sobriety while trying to recapture the creative inspiration that led her band to success.,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",134 min,Her Smell,2018,6.2,297
N/A,USA,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte",,"Animation, Drama, Family, Musical","The stork delivers a baby elephant to Mrs. Jumbo, veteran of the circus, but the newborn is ridiculed because of his truly enormous ears and dubbed ""Dumbo"". After being separated from his mother, Dumbo is relegated to the circus' clown acts; it is up to his only friend, a mouse, to assist Dumbo to achieve his full potential.",Walt Disney Productions,G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",64 min,Dumbo,1941,7.3,"104,942"
,USA,N/A,,"Action, Family, Fantasy, Sci-Fi","Chosen by the Immortal Elders - Solomon, Hercules, Atlas, Zeus, Achilles and Mercury - Billy Batson is a young boy with a special duty in life. Accompanied by his Mentor, he travels from place to place in a Winnebago learning about life and helping people along the way. When the situation is heading for disaster, all he has to do is to shout the magic word, ""Shazam!"" and call down the magic lightning that transforms him into the World's Mightiest Mortal, Captain Marvel.",,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",30 min,Shazam!,1974–1977,7.0,985
N/A,USA,Mary Lambert,,"Horror, Thriller","The Creeds have just moved to a new house in the countryside. Their house is perfect, except for two things: the semi-trailers that roar past on the narrow road, and the mysterious cemetery in the woods behind the house. The Creed's neighbours are reluctant to talk about the cemetery, and for good reason too.",Paramount Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",103 min,Pet Sematary,1989,6.6,"78,760"
"$59,035,104",USA,Guillermo del Toro,,"Action, Fantasy, Horror, Sci-Fi","In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",122 min,Hellboy,2004,6.9,"282,430"
N/A,USA,Michael Chaves,,"Horror, Mystery, Thriller","Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.",New Line Cinema,R,[],93 min,The Curse of La Llorona,2019,N/A,N/A
N/A,USA,David Robert Mitchell,,"Comedy, Crime, Drama, Mystery, Thriller","Sam, intelligent but without purpose, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",139 min,Under the Silver Lake,2018,6.3,"11,196"
N/A,USA,"Anthony Russo, Joe Russo",,"Action, Adventure, Fantasy, Sci-Fi","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",Marvel Studios,N/A,[],N/A,Avengers: Endgame,2019,N/A,N/A
N/A,USA,Jacob LaMendola,,"Documentary, Short","When Juan Catalan is arrested for a murder he insists he didn't commit, he builds his case for innocence around raw footage from a popular TV show, ""Curb Your Enthusiasm.""",Netflix,TV-14,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",40 min,Long Shot,2017,7.4,"3,084"
N/A,"Japan, USA",Rob Letterman,,"Animation, Adventure, Family, Fantasy, Mystery, Sci-Fi","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",Warner Bros. Pictures,N/A,[],N/A,Pokémon Detective Pikachu,2019,N/A,N/A
N/A,USA,Chad Stahelski,,"Action, Thriller","Super-Assassin John Wick (Keanu Reeves) is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head - he is the target of hit men and women everywhere.",Summit Entertainment,N/A,[],N/A,John Wick: Chapter 3 - Parabellum,2019,N/A,N/A
N/A,USA,Stuart Gillard,,"Comedy, Family, Sci-Fi",Fred Z. Randall is a geeky and obnoxious spacecraft designer who gets the chance to make his dream come true and travel to Mars as a member of the first manned flight there.,Walt Disney Productions,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}]",95 min,RocketMan,1997,5.9,"8,285"
N/A,USA,"Ron Clements, John Musker",,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","Aladdin is a poor street urchin who spends his time stealing food from the marketplace in the city of Agrabah. His adventures begin when he meets a young girl who happens to be Princess Jasmine, who is forced to be married by her wacky yet estranged father. Aladdin's luck suddenly changes when he retrieves a magical lamp from the Cave of Wonders. What he unwittingly gets is a fun-loving genie who only wishes to have his freedom. Little do they know is that the Sultan's sinister advisor Jafar has his own plans for both Aladdin and the lamp.",Buena Vista Distribution Compa,G,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",90 min,Aladdin,1992,8.0,"313,849"
