Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
Wings,['Paramount Famous Lasky'],True,1927,N/A,USA,"William A. Wellman, Harry d'Abbadie d'Arrast","Drama, Romance, War, Action","Two young men from the same town but different social classes end up as fighter pilots in WW1. Jack Preston is a keen auto mechanic, building and modifying cars. David Armstrong comes from a wealthy family. They are both in love with the same woman, Sylvia. Her heart belongs to David but she doesn't let Jack know and plays along with his infatuation. Meanwhile, Jack's neighbour, Mary, is deeply in love with him but he just views her as a friend. WW1 interrupts the romantic entanglements as Jack and David enlist in the US Army Air Service (Air Service of the AEF at the time). They are initially bitter enemies, due to them both vying for Sylvia's affections. Over time, however, they become very good friends. They are both posted to the same fighter squadron in France, where being a fighter pilot means every day could easily be your last.",Unknown,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",144 min,1927,7.7,"9,884",False,False,False,False,False,none
The Racket,['The Caddo Company'],False,1927,N/A,USA,"John Cromwell, Mel Ferrer, Tay Garnett, Nicholas Ray, Sherman Todd","Crime, Drama, Film-Noir","The big national crime syndicate has moved into town, partnering up with local crime boss Nick Scanlon. There are only two problems: First, Nick is the violent type, preferring to do things the old-fashioned way instead of using the syndicate's more genteel methods. The second problem is McQuigg, the only honest police captain on the force, and his loyal patrolman, Johnson. Together, they take on the violent Nick and try to foil the syndicate's plans to elect Welch, the crooked prosecutor running for a crooked judgeship.",RKO Pictures,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",88 min,1951,6.8,"2,056",False,False,False,False,False,none
7th Heaven,['Fox'],False,1927,,USA,N/A,"Drama, Family, Romance","This weekly television series follows the Camden family as the minister father and stay-at-home mother deal with the drama of having seven children, ranging from toddlers to adults with families of their own. The friends, neighbors, and love interests of the various members of the family weigh heavily on the plot of the series, which seeks to address a real-life issue with each episode.",,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",60 min,1996–2007,5.2,"22,707",False,False,False,False,False,none
The Broadway Melody,['Metro-Goldwyn-Mayer'],True,1928,N/A,USA,Harry Beaumont,"Drama, Musical, Romance","Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie.",MGM Home Entertainment,Passed,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",100 min,1929,6.2,"5,601",False,False,False,False,False,none
Alibi,['Feature Productions'],False,1928,N/A,Netherlands,Johan Nijenhuis,Comedy,"For years, well-integrated ethnic Moroccon Amsterdam screw-up Youssef lied his way trough life, including his ma's matching efforts. Slick wheeler-dealer Rick recruits the born liar for his firm, an 'alibi office' which helps people get away with cheating on their partners. Youssef soon becomes disguise genius Sander's best mate. Things get tricky when both Rick and Youssef fall in love with airhead waitress Andrea and Rick orders Youssef to arrange his alibi for cheating on his wife, unsuspecting lawyer Tanya.",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",86 min,2008,5.7,796,False,False,False,False,False,none
Hollywood Revue,['Metro-Goldwyn-Mayer'],False,1928,N/A,USA,"Charles Reisner, Christy Cabanne",Musical,"Conrad Nagel, representing the Hollywood movie community, and Jack Benny, representing the Broadway stage community, act as the interlocutors of a musical comedy revue. A plethora of chorus boys and girls are featured front and center in some of the song and dance numbers, and provide back-up to some other acts. But the revue primarily is a vehicle to highlight a cavalcade of Hollywood movie and Broadway stage stars. One early running gag has both Nagel and Benny playing straight man to Cliff Edwards, who just wants a nice introduction to his act. Edwards would return later to be featured along with the Brox Sisters in one of the highlights of the second act, a production number around the song ""Singin' in Rain"", complete with rain soaked stage. A reprise of the song with the entire cast acts as the revue's finale.",Metro-Goldwyn-Mayer Pictures,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",130 min,1929,7.4,"1,586",False,False,False,False,False,none
In Old Arizona,['Fox'],False,1928,N/A,USA,Irving Cummings,"Romance, Western","Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.",20th Century Fox Film Corporation,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",95 min,1928,5.7,668,False,False,False,False,False,none
The Patriot,['Paramount Famous Lasky'],False,1928,"$2,317,507","USA, Germany",Roland Emmerich,"Action, Drama, History, War","It is 1776 in colonial South Carolina. Benjamin Martin, a French-Indian war hero who is haunted by his past, now wants nothing more than to live peacefully on his small plantation, and wants no part of a war with the most powerful nation in the world, Great Britain. Meanwhile, his two eldest sons, Gabriel and Thomas, can't wait to enlist in the newly formed ""Continental Army."" When South Carolina decides to join the rebellion against England, Gabriel immediately signs up to fight...without his father's permission. But when Colonel William Tavington, British dragoon, infamous for his brutal tactics, comes and burns the Martin Plantation to the ground, tragedy strikes. Benjamin quickly finds himself torn between protecting his family, and seeking revenge along with being a part of the birth of a new, young, and ambitious nation.",Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",165 min,2000,7.2,"234,528",False,False,False,False,False,none
All Quiet on the Western Front,['Universal'],True,1929,N/A,USA,Lewis Milestone,"Drama, War","This is an English language film (made in America) adapted from a novel by German author Erich Maria Remarque. The film follows a group of German schoolboys, talked into enlisting at the beginning of World War 1 by their jingoistic teacher. The story is told entirely through the experiences of the young German recruits and highlights the tragedy of war through the eyes of individuals. As the boys witness death and mutilation all around them, any preconceptions about ""the enemy"" and the ""rights and wrongs"" of the conflict disappear, leaving them angry and bewildered. This is highlighted in the scene where Paul mortally wounds a French soldier and then weeps bitterly as he fights to save his life while trapped in a shell crater with the body. The film is not about heroism but about drudgery and futility and the gulf between the concept of war and the actuality.",Universal Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",136 min,1930,8.1,"52,868",False,False,False,False,False,none
The Big House,['Cosmopolitan'],False,1929,N/A,USA,"George W. Hill, Ward Wing","Crime, Drama, Thriller","After a manslaughter conviction from drunk driving, nice but foolish Kent is sent to a prison over-crowded and unable to properly deal with it's inmates. There he meets veteran criminals like Morgan and his hardened pal Butch. And the system punishes them all, turning them against each other and bringing out the worst.",Warner Bros.,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",87 min,1930,7.2,"1,589",False,False,False,False,False,none
